position,player,salary,points,value
G,Michal Neuvirth,7200,5.622,0.780833333
G,Louis Domingue,6600,5.567,0.843484848
D,Brent Burns,8300,5.564,0.670361446
LW,Kevin Fiala,2500,5.5,2.2
G,Jonathan Quick,8400,5.274,0.627857143
LW,Alex Ovechkin,8700,5.231,0.601264368
C,Tyler Seguin,8400,4.986,0.593571429
LW,Jamie Benn,8600,4.97,0.577906977
G,Craig Anderson,7600,4.929,0.648552632
D,Erik Karlsson,7400,4.625,0.625
LW,Taylor Hall,7100,4.5,0.633802817
RW,Vladimir Tarasenko,7900,4.428,0.560506329
C,Joe Pavelski,7700,4.367,0.567142857
C,Patrice Bergeron,7300,4.262,0.583835616
C,Nathan MacKinnon,7100,4.211,0.593098592
D,Roman Josi,7000,4.114,0.587714286
LW,Max Pacioretty,7200,4.05,0.5625
LW,Mike Hoffman,5900,3.968,0.672542373
D,Mark Giordano,6400,3.964,0.619375
D,Oliver Ekman-Larsson,6100,3.791,0.62147541
C,Matt Duchene,6700,3.733,0.557164179
D,Kevin Shattenkirk,6500,3.697,0.568769231
D,Ryan Suter,6200,3.64,0.587096774
C,Leon Draisaitl,5000,3.4,0.68
D,Francois Beauchemin,5400,3.4,0.62962963
LW,Mikkel Boedker,5100,3.342,0.655294118
RW,Justin Williams,4800,3.128,0.651666667
RW,Shane Doan,4300,3.1,0.720930233
RW,Tobias Rieder,4500,3.081,0.684666667
C,Boone Jenner,4800,3.056,0.636666667
C,Mikko Koivu,4900,3.023,0.616938776
D,Shayne Gostisbehere,4700,3.022,0.642978723
C,Leo Komarov,4400,3,0.681818182
C,Carl Soderberg,4700,2.978,0.633617021
RW,Cam Atkinson,4600,2.964,0.644347826
D,Jake Muzzin,4700,2.964,0.630638298
D,Marc-Edouard Vlasic,4500,2.878,0.639555556
C,Tyler Bozak,4300,2.843,0.661162791
D,Morgan Rielly,4400,2.829,0.642954545
D,Alec Martinez,4300,2.81,0.653488372
RW,Michael Frolik,4300,2.797,0.650465116
C,Martin Hanzal,4200,2.79,0.664285714
RW,Lee Stempniak,4300,2.782,0.646976744
D,Michael Stone,4100,2.779,0.677804878
LW,Jason Chimera,4200,2.733,0.650714286
D,Dion Phaneuf,4200,2.732,0.65047619
RW,Dale Weise,3700,2.713,0.733243243
D,Andrej Sekera,4100,2.633,0.642195122
C,Marcus Johansson,4100,2.585,0.630487805
D,Michael Del Zotto,4000,2.564,0.641
D,Justin Braun,3800,2.538,0.667894737
RW,Pierre-Alexandre Parenteau,3700,2.515,0.67972973
C,Charlie Coyle,3600,2.512,0.697777778
RW,Teddy Purcell,3900,2.511,0.643846154
C,Patrik Berglund,3900,2.5,0.641025641
C,Sean Couturier,3900,2.486,0.637435897
LW,Frank Vatrano,3500,2.375,0.678571429
LW,Dwight King,3300,2.357,0.714242424
D,Jeff Petry,3700,2.326,0.628648649
C,Oscar Lindberg,3600,2.31,0.641666667
C,Peter Holland,3300,2.273,0.688787879
C,Alexander Wennberg,3700,2.273,0.614324324
D,Johnny Oduya,3500,2.261,0.646
C,Antoine Vermette,3500,2.184,0.624
D,Cody Ceci,3200,2.162,0.675625
LW,Daniel Carr,3000,2.147,0.715666667
LW,Milan Michalek,3300,2.143,0.649393939
RW,Jayson Megna,2600,2.125,0.817307692
D,Cody Goloubef,3000,2.079,0.693
C,Jean-Gabriel Pageau,2900,2.011,0.693448276
D,Nate Schmidt,3100,1.974,0.636774194
D,Kevan Miller,2900,1.973,0.680344828
C,Colton Sceviour,2900,1.893,0.652758621
C,John Mitchell,3000,1.872,0.624
RW,Max McCormick,2700,1.769,0.655185185
D,Marc Staal,2700,1.733,0.641851852
RW,Torrey Mitchell,2500,1.667,0.6668
C,Chris Tierney,2500,1.613,0.6452
C,Shawn Matthias,2500,1.55,0.62
